STREETSEGID;QUADCODE;ST_NAME
1;3;Bangor St
1;3;Bangor St
5;2;Florida Ave
11;1;O St
12;1;T St
12;1;T St
12;1;T St
13;1;Whittier St
15;1;19th St
16;4;Maryland Ave
17;1;8th St
19;3;K St
22;2;Kenilworth Ave
24;1;Chesapeake St
24;1;Chesapeake St
26;2;H St
27;2;C St
27;2;C St
29;2;4th St
30;1;P St
32;1;10th St
33;2;Corbin Pl
34;2;Trinidad Ave
36;3;Q St
36;3;Q St
37;3;K St
38;1;Allen Pl
39;3;B St
43;2;South Dakota Ave
44;1;H St
46;2;O St
47;2;Bladensburg Rd
49;1;Wiltberger St
49;1;Wiltberger St
49;1;Wiltberger St
50;1;Massachusetts Ave
54;3;High St
57;4;I St
60;4;Virginia Ave
63;2;19th St
67;3;G St
71;1;25th St
71;1;25th St
73;2;Lincoln Rd
75;1;3rd St
77;1;T St
78;2;Summit Pl
79;2;2nd St
83;1;1st St
84;1;1st St
85;4;Half St
86;3;E St
87;2;24th St
92;1;4th St
96;3;I St
101;1;Q St
103;2;30th St
106;1;Colorado Ave
106;1;Colorado Ave
107;3;13th St
107;3;13th St
107;3;13th St
108;2;Jefferson St
108;2;Jefferson St
108;2;Jefferson St
109;3;C St
110;2;F St
111;2;Albert Irvin Cassell Pl
112;4;Maryland Ave
114;1;Underwood Pl
115;1;Ellicott St
115;1;Ellicott St
120;4;Ivanhoe St
120;4;Ivanhoe St
122;4;Connector Rd
123;1;14th St
124;3;B St
125;3;Ridge Pl
126;1;6th St
127;3;Southern Ave
130;1;Davenport St
130;1;Davenport St
131;1;Missouri Ave
132;1;E St
132;1;E St
132;1;E St
132;1;E St
134;3;Condon Ter
137;4;Angell St
140;2;Sligo Mill Rd
140;2;Sligo Mill Rd
142;1;3rd St
143;1;5th St
144;2;Webster St
145;1;New Hampshire Ave
148;1;Longfellow St
148;1;Longfellow St
148;1;Longfellow St
150;2;Mount Olivet Rd
151;3;Queens Stroll Pl
155;1;Madison St
155;1;Madison St
155;1;Madison St
156;1;49th St
158;4;Independence Ave
158;4;Independence Ave
161;1;Georgia Ave
166;3;C St
168;2;James Pl
169;2;Randolph St
173;1;Thomas Cir
175;3;Reed Ter
175;3;Reed Ter
177;1;Monroe St
180;1;10th St
182;1;Madison Pl
183;3;Hilltop Ter
184;1;M St
187;3;Potomac Ave
189;1;15th St
191;2;Quackenbos St
193;3;Benning Rd
194;3;2nd St
195;1;V St
197;1;Jonquil St
199;1;Kalorama Rd
199;1;Kalorama Rd
203;1;Massachusetts Ave
211;1;25th St
211;1;25th St
214;3;Alabama Ave
216;1;33rd St
218;3;Ridge Rd
218;3;Ridge Rd
222;2;18th St
224;1;Rock Creek Church Rd
228;2;Brooks St
228;2;Brooks St
231;1;16th St
232;2;Kennedy St
232;2;Kennedy St
233;3;C St
236;1;Hawthorne St
237;1;O St
238;2;Constitution Ave
240;1;Venable Pl
241;1;Upshur St
241;1;Upshur St
242;1;Emerson St
244;1;Reno Rd
245;3;8th St
250;1;23rd St
251;1;Washington Cir
252;1;New Hampshire Ave
253;1;I St
254;3;Shadbush Ln
255;3;Ridge Rd
255;3;Ridge Rd
257;1;29th St
257;1;29th St
259;3;Fort Dupont St
260;3;Call Pl
262;1;Ingomar St
265;3;Independence Ave
265;3;Independence Ave
268;2;45th St
273;1;Davenport St
273;1;Davenport St
273;1;Davenport St
276;1;Upshur St
276;1;Upshur St
278;1;Piney Branch Rd
278;1;Piney Branch Rd
281;4;Delaware Ave
282;3;Kennon St
283;1;Kalmia Rd
284;4;Thomas Rd
285;1;Brandywine St
288;1;Pennsylvania Ave
290;1;Connecticut Ave
291;4;2nd St
292;2;New York Ave
292;2;New York Ave
292;2;New York Ave
292;2;New York Ave
295;1;Newark St
296;3;Fairlawn Ave
298;2;9th St
299;1;Otis Pl
305;5;East Capitol St
306;2;Raum St
307;2;Alden Pl
310;1;Lingan Rd
311;3;Carpenter St
314;1;Eastern Dr
317;1;Illinois Ave
317;1;Illinois Ave
319;1;Brandywine St
320;1;Connecticut Ave
320;1;Connecticut Ave
322;2;50th Pl
323;2;56th St
327;1;T St
328;1;Hillbrook Ln
330;1;Broad Branch Rd
331;2;44th St
332;3;C St
334;3;1st St
335;1;3rd St
335;1;3rd St
337;3;Talbert Ter
338;1;Rittenhouse St
341;1;Sherier Pl
343;1;Park Rd
343;1;Park Rd
346;1;Somerset Pl
346;1;Somerset Pl
347;3;Branch Ave
352;2;16th St
357;1;16th St
358;2;Apple Rd
359;3;Savannah St
360;1;Varnum St
361;1;New Hampshire Ave
363;2;31st Pl
363;2;31st Pl
367;1;5th St
367;1;5th St
368;1;5th St
369;1;Scott Cir
370;1;MacArthur Blvd
370;1;MacArthur Blvd
371;1;East Rd
372;2;24th St
380;1;23rd St
381;2;Minnesota Ave
381;2;Minnesota Ave
382;3;Atlantic St
383;2;Lawrence St
383;2;Lawrence St
388;2;47th Pl
388;2;47th Pl
389;1;Emerson St
391;1;Butterworth Pl
392;1;S St
396;1;16th St
398;1;18th St
400;3;Naylor Rd
401;3;N St
402;1;25th St
403;1;30th St
404;2;H St
405;3;Old Livingston Rd
406;4;Keel Rd
409;3;Erie St
410;1;Porter St
411;3;15th St
411;3;15th St
413;2;Lawrence St
416;1;13th St
419;1;Piney Branch Rd
420;2;Hickey Ln
421;1;14th St
423;2;Florida Ave
423;2;Florida Ave
424;4;Magazine Rd
424;4;Magazine Rd
425;1;Richardson Pl
427;1;12th St
428;1;Georgia Ave
430;1;Allison St
431;1;Luray Pl
432;2;10th St
435;1;Western Ave
436;1;44th St
437;1;32nd St
438;4;Langley Way
439;4;Kisling St
440;2;31st Pl
444;2;8th St
445;1;21st St
447;3;32nd St
447;3;32nd St
448;3;Magnolia St
450;4;Martin Luther King Jr Ave
451;3;Branch Ave
456;1;West Lane Kys
459;1;Rowland Pl
460;2;Clermont Dr
460;2;Clermont Dr
461;1;Florida Ave
462;1;Quincy Pl
469;2;59th St
470;1;Washington Cir
472;1;Wisconsin Ave
474;1;Rodman St
474;1;Rodman St
475;1;Wisconsin Ave
477;2;6th Pl
479;3;10th St
480;2;1st St
480;2;1st St
483;2;Ord St
484;1;39th St
484;1;39th St
485;3;Good Hope Rd
486;1;Highland Ave
490;2;48th Pl
491;1;5th St
492;2;18th St
494;1;33rd St
495;1;7th St
496;1;O St
498;1;Fessenden St
500;1;Chesapeake St
503;1;Macomb St
506;2;Minnesota Ave
508;1;Shepherd St
508;1;Shepherd St
510;3;Hanna Pl
511;1;26th St
513;2;44th St
515;1;Mintwood Pl
520;1;Spruce Dr
521;1;46th St
523;1;Bryant St
523;1;Bryant St
523;1;Bryant St
524;4;Malcolm X Ave
525;3;56th Pl
526;1;S St
527;2;Eads St
527;2;Eads St
530;4;East Basin Dr
530;4;East Basin Dr
531;3;Yuma St
533;2;42nd Pl
533;2;42nd Pl
534;3;Alabama Ave
535;3;Martin Luther King Jr Ave
537;1;Hawthorne St
538;3;S St
541;2;Constitution Ave
541;2;Constitution Ave
542;2;Shepherd St
543;1;T St
544;1;Blair Rd
545;2;Sheriff Rd
550;2;Girard St
550;2;Girard St
550;2;Girard St
551;2;Massachusetts Ave
554;1;Pennsylvania Ave
555;1;I St
556;1;Oneida Pl
557;2;Oglethorpe St
558;1;Potomac St
558;1;Potomac St
559;3;Irving St
559;3;Irving St
560;2;46th St
561;3;Valley Ave
562;1;Wise Rd
562;1;Wise Rd
566;3;12th St
567;1;Gallatin St
568;1;Decatur St
573;2;9th St
573;2;9th St
573;2;9th St
577;2;Kennedy St
577;2;Kennedy St
578;1;5th St
578;1;5th St
579;1;19th St
583;4;Overlook Ave
585;1;Sherman Cir
587;2;15th St
587;2;15th St
588;1;18th St
589;1;New Hampshire Ave
590;3;5th St
593;2;Eastern Ave
594;1;P St
595;1;29th St
598;3;Savannah St
603;2;16th St
604;1;Nicholson St
605;3;34th St
608;3;25th St
614;2;New York Ave
615;2;Cloud Pl
615;2;Cloud Pl
619;1;32nd St
620;1;37th St
623;2;Rhode Island Ave
624;3;C St
627;2;Constitution Ave
627;2;Constitution Ave
629;1;Farragut St
633;1;16th St
634;2;Peabody St
634;2;Peabody St
635;4;Wick Dr
638;1;17th St
640;4;Independence Ave
641;1;P St
641;1;P St
642;1;35th St
644;1;Q St
645;3;53rd St
646;3;15th St
646;3;15th St
649;1;Varnum St
649;1;Varnum St
652;2;I St
653;1;Westover Pl
655;1;Westminster St
655;1;Westminster St
659;1;Georgia Ave
660;2;5th St
661;1;Madison St
663;1;Kalmia Rd
664;1;Iris St
664;1;Iris St
664;1;Iris St
668;2;Childress St
669;3;D St
671;1;Kansas Ave
672;3;S St
674;1;3rd St
677;1;1st St
678;3;4th St
678;3;4th St
684;1;Alaska Ave
691;1;32nd St
692;3;Barnaby Rd
692;3;Barnaby Rd
693;2;Ames St
694;3;Wheeler Rd
695;3;28th St
696;3;32nd St
702;1;Brandywine St
702;1;Brandywine St
704;2;Hayes St
704;2;Hayes St
708;2;16th St
709;3;Pennsylvania Ave
